Run,Generation,Leg Index,Individual Index,Fitness,Amplitude,Phase,Offset
1,0,0,0,6.042035024994039,"[0.2309445462645049, 0.41139260970983016, 0.04370717751557718]","[4.2678743780333965, 1.815768205094248, 3.5234404595645583]","[-0.37523751759640145, 0.3109250772484461, -0.16695990540129446]"
1,0,0,1,5.742429800363344,"[0.0076063133427440865, 0.2949354974659623, 0.32159980553154277]","[2.61152497882252, 1.0328557315216058, 0.6755948660040195]","[0.4635912522176342, -0.4199287500039749, -0.25076460964852176]"
1,0,0,2,5.576381466774639,"[0.4385561714082118, 0.4226750638721049, 0.16613572008894106]","[0.9605948100878571, 0.8396348935450737, 5.168985590302705]","[0.43494576786046324, -0.27837747600393214, 0.35816163868969897]"
1,0,0,3,5.514699022180877,"[0.023070452987296652, 0.13489356170817457, 0.2748344907672013]","[2.3895300063965808, 2.381084376927852, 2.2986321659451883]","[0.45990233613377907, 0.008024357735478826, 0.4402459870231086]"
1,0,0,4,5.6945402335595405,"[0.42366074233906903, 0.14287437554754345, 0.31391520924308725]","[2.9026121021818505, 3.0806775078509916, 2.6103856453645014]","[0.24993930350043947, 0.34141080833309756, -0.30882214624343585]"
1,0,0,5,5.716095033948572,"[0.1430818071156844, 0.03905418975418684, 0.03897202631207258]","[6.172276510683402, 2.4461444587373995, 5.702777191067542]","[-0.4557934627582071, -0.16845409566363934, -0.28958040825428977]"
1,0,0,6,5.893297470955879,"[0.17753627799752691, 0.2817947960633623, 0.10300923860883737]","[5.528709085957801, 0.9865466829570945, 3.234272773655915]","[-0.30124248298816825, -0.15759737552160946, 0.4626469608842103]"
1,0,0,7,5.707372018120403,"[0.038469931997532236, 0.22792519105753278, 0.11645099296379052]","[1.133790834372272, 3.913899579910961, 4.429144437270769]","[0.15565584166552293, -0.13886304837639463, 0.20172525154502852]"
1,0,0,8,5.8932205357009115,"[0.026651603632770082, 0.2873742713088332, 0.17188341003188812]","[3.3085528548133523, 5.187357143776836, 3.8905748762160988]","[-0.03134298410774394, -0.03868112079856012, 0.48779364096224165]"
1,0,0,9,5.652694036456833,"[0.14727394791132786, 0.24332089940798624, 0.43799733872463664]","[4.775138732770739, 2.8650846272395567, 4.598951933228982]","[-0.306862687805741, -0.43354407575314635, -0.2744109568811648]"
1,0,0,10,5.522337411067444,"[0.09588082310821106, 0.3489915758863871, 0.37229009151569653]","[4.802114075808415, 0.49965651694721847, 3.880227249793839]","[0.05380391282150343, 0.34273509137570224, 0.1380901014825936]"
1,0,0,11,5.8002703109374805,"[0.13363051481991933, 0.33152186891510366, 0.45899988391984103]","[2.275815435511304, 5.925901303166028, 2.264658341922285]","[0.0364254957047897, 0.06222019217799757, 0.3911551621673952]"
1,0,0,12,6.105782104930062,"[0.3696112174197326, 0.34926498766167335, 0.1012347612162538]","[1.1390803857715743, 1.186593179850061, 1.0865119952497404]","[-0.22955258520771393, -0.33248412514210757, 0.2755955922656236]"
1,0,0,13,5.62200996127061,"[0.37646387364861755, 0.439280325866523, 0.4350086078498544]","[4.9412656893502085, 5.885213965173255, 5.202973529476915]","[-0.43584984463083454, 0.21317759270851966, -0.41605426109906174]"
1,0,0,14,8.587876711859634,"[0.32234487462431016, 0.3094468187032158, 0.3743673205526184]","[3.2293928897573423, 0.26787291500599103, 4.176301186897508]","[-0.010481778471172043, -0.21633030080758409, 0.19749198961434833]"
1,0,0,15,5.662986489832149,"[0.2242419845231594, 0.3100017158547892, 0.33856776201750916]","[3.0340201653384153, 4.527410766437935, 4.6449883911141105]","[0.4387181041698628, 0.3811713326694408, -0.1484811209608473]"
1,0,0,16,5.781137356893463,"[0.1936070114224791, 0.00353322648689941, 0.30483069839088334]","[5.478536981054226, 0.720516641332447, 1.8369329930848612]","[-0.4238036493659023, -0.24772692177525424, -0.005917745771564675]"
1,0,0,17,5.633218572644767,"[0.4496460058731291, 0.08683050606719683, 0.046102297374383816]","[5.1908801154296835, 0.9830942568969402, 1.0439576215427882]","[0.03478470889002805, -0.370041353125247, 0.43493333468908846]"
1,0,0,18,5.601127833557622,"[0.09836230638199667, 0.4457324526362041, 0.26325322102726717]","[2.1811296130128004, 2.1205607285846884, 0.3792303260386211]","[0.42904236771774984, 0.16939767334312772, 0.26917969449073187]"
1,0,0,19,5.637369533033165,"[0.06716734909318012, 0.4305537117866828, 0.052802224859487656]","[2.3823895836826456, 5.0493339455181285, 2.0044737487611406]","[-0.049176765028142166, -0.20872827844648145, -0.2984264456533885]"
1,0,0,20,6.274121282184389,"[0.4855436437561183, 0.08799223145547203, 0.32929918888587173]","[5.0837282263063495, 6.02101723626553, 4.952164834852537]","[0.4726319240965593, -0.46492238361889304, 0.3454827536869438]"
1,0,0,21,5.45590486143314,"[0.2967626740520001, 0.09279335052870563, 0.271296131963405]","[2.9460919575906175, 2.954223615481645, 1.0948344611777274]","[0.2511875124726116, 0.444358421577952, -0.24412695239865323]"
1,0,0,22,5.636250311157494,"[0.21959549763348662, 0.0562848429676327, 0.3599771889966655]","[1.955272078666061, 1.9364220882147167, 2.7860624406750585]","[0.3401285269786015, 0.206934177084526, -0.056721440805957424]"
1,0,0,23,5.453875487856112,"[0.15398950044504406, 0.4897023081827253, 0.29512127958644047]","[0.2376370150857583, 2.4802024285001307, 3.181643911427334]","[-0.15308105051493082, -0.4600032045377198, 0.3198739815146314]"
1,0,0,24,5.786149003010443,"[0.26384553569868036, 0.3003989754145028, 0.4852463466588043]","[2.1858128265308667, 0.697531697431873, 1.4560456615700355]","[-0.13250687891694146, 0.4907838815561575, -0.3848592111429716]"
1,0,0,25,5.81100191045847,"[0.31930033068288444, 0.43647751174103666, 0.32056868622297885]","[2.7183292977747118, 4.058969268358337, 5.0962249902536705]","[0.11214565621460681, -0.30418810761381654, -0.24713755505234847]"
1,0,0,26,5.68957384909902,"[0.3857609921988407, 0.24888239637733484, 0.3763316746184141]","[3.583052179204816, 5.138965467494092, 0.5442102635845928]","[-0.20207886537307373, 0.14887674837891718, -0.10134281118545185]"
1,0,0,27,6.2705735492642125,"[0.4245033711339523, 0.19073820321422974, 0.4345726908746064]","[4.2181787960143335, 3.949918502246813, 1.4391395485996556]","[0.47912825033942497, -0.2899680984547198, 0.1729026448463904]"
1,0,0,28,5.593458498669752,"[0.11986109775685078, 0.429036644444216, 0.14011952190811772]","[0.09630292121033701, 5.609214736633392, 5.849243011213334]","[-0.004305796604898271, 0.4248976430669389, 0.06788032446949899]"
1,0,0,29,5.626916893844579,"[0.14994828643189406, 0.04795693238926918, 0.0842396219252744]","[6.253492924438534, 2.90140957319004, 4.866795942303411]","[0.3719982812863486, 0.32850069018966255, -0.4090016166649728]"
