Run,Generation,Leg Index,Individual Index,Fitness,Amplitude,Phase,Offset
0,0,0,0,6.921912311038982,"[0.24981947617567063, 0.2563970143924533, 0.4969682981839361]","[1.3203613966416945, 0.6370334537509088, 3.887139493962326]","[-0.3161783116326814, 0.2898034324572082, 0.3632644666350664]"
0,0,1,0,6.93145707748662,"[0.4727905241631671, 0.01788941929870158, 0.44441041903422285]","[0.04861283884425626, 1.4640886686513963, 1.1064761347866108]","[0.17063498631136242, 0.421274119958447, -0.19533471351462217]"
0,0,2,0,6.935336234151137,"[0.1427720047909246, 0.1771786227149525, 0.16972515016365813]","[5.9097387779508415, 6.250862108753351, 6.275674107907113]","[0.11326567882969063, -0.13784082251341911, 0.2618060637006139]"
0,0,4,0,6.936045864392344,"[0.12710727159033208, 0.028597090118653246, 0.17994970090447066]","[1.89918262931505, 4.188384869501569, 4.444852611825251]","[-0.054767897759441464, -0.3894932568002495, -0.20884487174945832]"
0,0,5,0,6.937308039046287,"[0.2941673199048444, 0.2192751047901182, 0.2460881999606664]","[5.349809955097223, 5.838463343283119, 3.163196369805801]","[-0.040539274119604785, 0.11990402682886714, -0.06380877205965996]"
0,0,0,1,7.856362706994492,"[0.39307105458301245, 0.02822764449017301, 0.12889876877334538]","[4.035569136383093, 1.5990952347856173, 0.4919216345499839]","[0.22492470584314428, 0.10580796812562765, -0.3922498543061118]"
0,0,1,1,7.855714320971783,"[0.20989187998529402, 0.027835669586813938, 0.1721648854915736]","[0.32665145263254663, 3.9860980029129816, 1.8289272291015444]","[0.0008620640430716531, -0.2937021273311077, 0.41147516304627774]"
0,0,2,1,7.855066583808746,"[0.3794966056144345, 0.06956906858211132, 0.416280015516508]","[4.4087556231953915, 4.460734818481749, 0.9826759495312646]","[-0.12625919431026122, 0.39845499832087916, 0.36572010349461326]"
0,0,4,1,7.853767881939895,"[0.36887932413993546, 0.4474903995626232, 0.3504703109067276]","[1.4928301918034514, 6.160269679951513, 6.136708268511278]","[0.06696677705808984, 0.018026400237434292, -0.2058466417194037]"
0,0,5,1,7.853115631467608,"[0.11206746897729009, 0.40373488032651567, 0.04560972747137837]","[0.2412765474666703, 2.9238777494055834, 3.248729196780771]","[-0.4718158354083313, 0.21653694882050212, 0.16380657032379708]"
0,0,0,2,6.860006206647258,"[0.4729357627313206, 0.3243303495599243, 0.09878580410356674]","[3.8038319453188585, 3.667379040877763, 0.6137581789055812]","[-0.31641360673101304, -0.14191113396461819, 0.3464952504020187]"
0,0,1,2,6.86066641284803,"[0.3340185442896336, 0.16134391449145363, 0.021468524273213052]","[5.821254696417617, 3.693247030670175, 3.8723992863921266]","[0.0578614793258978, -0.11004573180380195, -0.03328251651603353]"
0,0,2,2,6.8613216776178225,"[0.019246313617755806, 0.29574300787578156, 0.10680186754945742]","[1.3589275267453838, 4.217849284923516, 0.27632889301969177]","[0.36024936899098303, 0.043459193289896114, -0.1436443255293216]"
0,0,4,2,6.862615261560573,"[0.16924992105692693, 0.38468576319056447, 0.030005868590342044]","[3.3582542202072556, 4.348609444423043, 3.4052312793886323]","[-0.21535989463138028, 0.03341662823205771, -0.29331130464152855]"
0,0,5,2,6.863254337103485,"[0.06748626741200936, 0.11793261037784869, 0.34987750134687334]","[4.970619307606348, 5.836061696756208, 0.8064838933999935]","[0.002294605455861465, 0.10023881379526389, -0.14562104295799394]"
0,0,0,3,7.089056673175898,"[0.48295287818856963, 0.17717259198726215, 0.45759677828676654]","[5.942531935981018, 5.386704480736552, 4.193707056376395]","[-0.45922050824547467, 0.07025113672851979, -0.4310106526198817]"
0,0,1,3,7.088365908856131,"[0.020372061877211023, 0.4858077107014916, 0.32841973561982846]","[5.534654185071483, 3.4924895106519003, 4.9534740739383585]","[0.2821166340474208, -0.09359008433131177, 0.20015362599661102]"
0,0,2,3,7.087676193670747,"[0.2737961829014375, 0.26508071838109465, 0.08630721133614566]","[2.8678450533488284, 1.773371792927349, 2.6892916945094223]","[0.43548656366421523, -0.22290743892588605, -0.015277759218227493]"
0,0,4,3,7.086304480013169,"[0.17582101825958502, 0.3847958233209305, 0.025728482771356476]","[2.7289397185611755, 3.945784103455721, 4.9582504028954775]","[0.0029640380107294195, -0.44667883088954374, 0.06488786056751505]"
0,0,5,3,7.08562163547321,"[0.48250619466110234, 0.4340934981864294, 0.3280511467885625]","[5.7591499209957755, 0.6128084007152274, 3.297551789260752]","[-0.10816009714339236, 0.08378167021600469, -0.305191635060468]"
0,0,0,4,6.021496264930962,"[0.025590707869372786, 0.20350076497018804, 0.33229103677203664]","[1.883746334534972, 5.857764540755746, 5.66730199307436]","[0.06365215119954282, -0.20307205535915673, 0.3917217826371634]"
0,0,1,4,6.0210391509993,"[0.4564486626683411, 0.2695116957593074, 0.010943913255009874]","[1.8227547013296905, 3.4083595675634024, 1.0184471919872884]","[-0.37676495807233157, -0.00660292490208314, 0.45096100888869406]"
0,0,2,4,6.020584984528762,"[0.26784992333508423, 0.4345962752677357, 0.4741688427260848]","[1.3082048132860147, 3.7040640072216906, 6.281537603394425]","[-0.2184313138349605, -0.0072152712330462165, 0.1836591089277153]"
0,0,4,4,6.020003601860904,"[0.4187065799756836, 0.28537844308554233, 0.3989213557398118]","[1.3506937530455878, 3.149767424965115, 0.001989024158007208]","[-0.11561494741149214, -0.2720441846256221, -0.20950544320674203]"
0,0,5,4,6.034882011422043,"[0.4690745159955586, 0.2730451011375183, 0.11087200765707034]","[5.514702025971923, 0.6588439299035015, 4.677831297846694]","[0.35337448529268867, -0.45888867151192547, 0.16699747775484342]"
0,0,0,5,6.664086085955697,"[0.20775197074096574, 0.3581064025431673, 0.2659797466951526]","[4.1577070848354065, 3.6573148314836637, 1.1429765067513067]","[0.317700856954643, -0.13435444633459548, 0.044776533352539505]"
0,0,1,5,6.664311224155263,"[0.005996366392995334, 0.07898060867408535, 0.18229504104914412]","[0.6308435262428898, 5.584768029275039, 4.906969007035632]","[0.19944142524120068, -0.49012110669694475, 0.2908672757084827]"
0,0,2,5,6.664534474893616,"[0.3234592252306891, 0.22591495911957876, 0.10596713731399648]","[6.25482702602168, 0.02598229349677695, 0.7240844713721534]","[0.443758972000317, 0.11556138500769109, 0.409885106626235]"
