Run,Generation,Leg Index,Individual Index,Fitness,Amplitude,Phase,Offset
1,0,0,0,6.829547433393752,"[0.009873704967918784, 0.11166056690317833, 0.26718564582272786]","[0.8181230826083428, 2.0641372686866926, 3.7309448394828744]","[-0.043178839389765966, 0.43299337788784775, -0.4201529351693356]"
1,0,1,0,6.829530823433363,"[0.4825252203119544, 0.004722728266052967, 0.25768987465946463]","[6.143224281573432, 3.035668316939026, 5.756538756512246]","[-0.46276771529178196, 0.1942419900670056, -0.18103870798275112]"
1,0,2,0,6.829504254818926,"[0.01141011399322056, 0.12424596862727788, 0.4289308542478467]","[4.696144505858406, 5.38272340517525, 3.00753150703631]","[-0.3596374183812141, -0.16314127491937547, 0.4508776684730268]"
1,0,3,0,6.8294686440869246,"[0.2181393579157752, 0.055028520127629876, 0.08526870686235943]","[2.210817353635272, 0.7901114778918882, 3.0395821850411195]","[-0.14243306258317567, 0.04518630119422784, 0.24686670943833788]"
1,0,4,0,6.829423814903384,"[0.4837988246848577, 0.38185829358126955, 0.42072923285658936]","[3.263538181428822, 0.418343464261765, 3.8205071929665224]","[-0.1558402899751551, 0.3134730961948837, -0.36397711774408614]"
1,0,0,1,7.506093064676738,"[0.07647162924743128, 0.013199455133591276, 0.4253025834977871]","[1.0853296612644547, 4.489227552444758, 2.4594116511260813]","[-0.4130552116286065, 0.3749731977279761, -0.10225269682757354]"
1,0,1,1,7.505814444036277,"[0.20346894234936042, 0.3557672027840958, 0.053415177751048426]","[0.5244567085582157, 5.145668029078464, 2.0663521607470856]","[0.17308276062889005, 0.040015466935466315, -0.13386118655062196]"
1,0,2,1,7.50580072122374,"[0.09904189679801784, 0.12656061116631945, 0.15136856792657272]","[3.0977331210285604, 3.6339890729716475, 4.917286868544297]","[0.3004228625587687, -0.23236787865831043, -0.4567299589609708]"
1,0,3,1,7.505953742271078,"[0.37796627345216055, 0.44969893537939243, 0.08197299469216102]","[1.6557344318929925, 2.041344195435578, 4.143820245847313]","[-0.45230896655487096, 0.08552802181228047, 0.06526534891070002]"
1,0,4,1,7.510670611670994,"[0.41858640428029303, 0.0638935673151308, 0.13457617390690862]","[0.8149904723208866, 4.903127977692312, 1.2537862651019165]","[-0.044206255963078145, -0.17073561982841945, 0.4066574827673509]"
1,0,0,2,8.814631659875024,"[0.49536168716776446, 0.3880608144039992, 0.32538633056713884]","[0.3817791089630782, 2.9792525925110978, 3.70077718675447]","[-0.253812337475695, 0.28455116020073246, -0.07773372611057694]"
1,0,1,2,8.823474755328547,"[0.41221319163685405, 0.443431927481606, 0.05248277553322367]","[1.6976979791154148, 3.572206183082493, 6.2694507400437]","[0.2097953158204795, -0.19212277155122992, 0.052361034864824796]"
1,0,2,2,8.82857054277417,"[0.38732784666715814, 0.1043940441967201, 0.010380214181915537]","[3.8681886632190148, 0.5113100739495616, 1.0763036154283454]","[0.44335383928403427, 0.15989531543881286, -0.40103196065211855]"
1,0,3,2,8.83414317968113,"[0.39111126396365986, 0.16585029455771894, 0.20588714123096802]","[2.8720720493209955, 0.2826699376783072, 3.442540651455439]","[0.2694407780330852, -0.4663839453381342, -0.18671723372307125]"
1,0,4,2,8.840737356072491,"[0.046717670015277046, 0.3590354270172853, 0.3999078478373372]","[5.705256376630158, 4.1979467008923885, 1.8691133877220922]","[-0.4672609210256585, 0.3691403318417239, -0.11088201375575402]"
1,0,0,3,6.357223095477015,"[0.31887595885762854, 0.08193739580032283, 0.4533709768470822]","[2.949271339792727, 4.802315149171182, 0.047125762984745974]","[-0.47962010853200676, -0.4758614885111663, 0.19986233578963386]"
1,0,1,3,6.357672095444687,"[0.1073657885440566, 0.2769589885244983, 0.34557245204570736]","[5.032880038698221, 2.499012015000782, 6.207961899348709]","[-0.22053559630186437, 0.3362249099418455, -0.2989661598638256]"
1,0,2,3,6.358133236473663,"[0.0076691620449456654, 0.2630965007348387, 0.38851248893049056]","[1.787740703737015, 1.222142187167673, 5.977951391664716]","[0.028022970397189928, 0.04765154499018731, -0.12629926241972111]"
1,0,3,3,6.358603701557193,"[0.22340726088148066, 0.47641367109459265, 0.16742158795734308]","[4.672507944780607, 0.8891862575067182, 4.886559986159711]","[-0.24698279690117597, -0.041302751441755436, 0.4297933827517746]"
1,0,4,3,6.359084300596352,"[0.13744766063222902, 0.3241575110446622, 0.4020214342589114]","[0.8154771943790593, 6.033308402924487, 2.4170044934678163]","[0.38842202796494973, -0.488393991363527, -0.41831235842756753]"
